,,,,,,,,,,,,,,,,,,
University,Ranking,Public or Private,Acceptance Rate,Type,Status,Scores sent,Top Majors,Tution/year,Boarding/Lodging,Undergrad Size,LAC or Regular?,ED Deadline,EA Deadline,Scholarship D,RD Deadline,Essay Completion,Day of Submission,Application Fee
Rice University,1,Private,8.7%,,,,,,,,,,,,,,,
Stanford University,2,Private,3.7%,,,,,,,,,,,,,,,
UT Austin,3,Public ,31.4%,,,,,,,,,,,,,,,
Johns Hopkins,4,Private,7.3%,,,,,,,,,,,,,,,
UC Berkeley,5,Public,11.3%,,,,,,,,,,,,,,,
Case Western Reserve,6,Private,27.4%,,,,,,,,,,,,,,,
UMichigan,7,Public,17.7%,,,,,,,,,,,,,,,
UC San Diego,8,Public,24.7%,,,,,,,,,,,,,,,
UNC Chapel Hill,9,Public,17.1%,,,,,,,,,,,,,,,
Texas A&M,10,Public,62.6%,,,,,,,,,,,,,,,
UT Dallas,11,Public,84.7%,,,,,,,,,,,,,,,
