angle,magnitude
0,5.268959166961654
5,1.2213089265502108
10,5.7727227533456125
15,7.299871831844415
20,5.2454403274218535
25,2.773504611206208
30,6.1209400815919
35,6.548220445853103
40,4.422435455761091
45,2.9971112495782464
50,4.732217051309231
55,5.715661784515194
60,7.416212430622053
65,5.525376490974074
70,6.26726775512218
75,4.889917664795428
80,6.6254910713388835
85,3.909179506627678
90,3.682440736917531
95,6.685322355339372
100,3.9139136246090507
105,6.137279935440053
110,2.8389869297919534
115,7.4199338771857
120,8.970864920401606
125,0.08336094606324984
130,6.045102409189037
135,4.531151615643098
140,3.784317957554073
145,4.2660772114152845
150,5.5151355411517695
155,4.402795205331569
160,5.1022606893752975
165,6.973282972519508
170,2.6435354316595707
175,11.321616349152976
180,4.808929125139751
185,7.082362177259275
190,6.692291884163978
195,6.114366559785747
200,5.356161759588427
205,6.913530495911237
210,7.249059929071768
215,6.532258179245751
220,1.7355985678894386
225,4.33520201978777
230,4.663454840228371
235,4.116004900459806
240,4.271652092130217
245,5.372669698830444
250,3.733494608625448
255,8.069429145823172
260,4.481802306692956
265,2.003778422562592
270,4.202201981607364
275,6.962939542452245
280,4.275422247130617
285,10.722828947391129
290,4.983928794598375
295,4.654862583788086
300,6.522390279225059
305,2.165123441629927
310,0.9612956788807994
315,3.0778386585238637
320,3.6923336993637994
325,3.220816522221157
330,6.259309011604313
335,3.9456480235303992
340,6.871866683705101
345,4.472435803368754
350,4.7470764876748826
355,3.53603084510622
